episode,timestep,reward
32,800,24.4375
66,1600,23.8529
98,2400,24.75
126,3200,27.9286
144,4000,45.0
164,4800,40.4
179,5600,51.7333
194,6400,53.4667
204,7200,72.7
214,8000,82.6
222,8800,102.5
227,9600,155.2
231,10400,184.25
238,11200,127.2857
241,12000,239.3333
245,12800,204.5
250,13600,177.2
254,14400,197.75
257,15200,165.6667
261,16000,248.75
264,16800,214.0
268,17600,244.5
271,18400,285.0
274,19200,245.6667
277,20000,279.6667
280,20800,234.0
283,21600,333.6667
286,22400,212.3333
289,23200,320.6667
291,24000,400.0
293,24800,331.0
295,25600,394.0
298,26400,248.3333
301,27200,330.0
303,28000,350.5
305,28800,400.0
308,29600,257.3333
312,30400,213.5
314,31200,400.0
316,32000,400.0
318,32800,400.0
321,33600,294.6667
323,34400,400.0
325,35200,379.5
327,36000,341.0
329,36800,375.5
331,37600,316.0
333,38400,400.0
335,39200,400.0
337,40000,400.0
340,40800,349.0
342,41600,381.5
345,42400,318.0
347,43200,339.5
349,44000,297.5
351,44800,400.0
353,45600,400.0
355,46400,400.0
360,47200,222.0
363,48000,214.3333
366,48800,302.0
370,49600,203.5
373,50400,280.6667
375,51200,400.0
377,52000,400.0
379,52800,400.0
384,53600,156.2
388,54400,175.0
391,55200,266.6667
394,56000,248.6667
397,56800,285.0
399,57600,340.0
401,58400,400.0
403,59200,400.0
406,60000,280.6667
409,60800,306.6667
411,61600,252.5
414,62400,341.3333
417,63200,272.3333
419,64000,400.0
421,64800,293.0
424,65600,324.6667
426,66400,400.0
428,67200,400.0
430,68000,363.5
433,68800,325.0
435,69600,385.0
437,70400,400.0
439,71200,322.5
442,72000,327.3333
444,72800,327.5
446,73600,400.0
449,74400,286.0
452,75200,313.0
454,76000,400.0
456,76800,400.0
458,77600,400.0
460,78400,400.0
462,79200,400.0
464,80000,400.0
466,80800,400.0
468,81600,400.0
470,82400,400.0
472,83200,322.0
474,84000,400.0
476,84800,400.0
478,85600,400.0
480,86400,400.0
483,87200,324.0
485,88000,400.0
487,88800,400.0
489,89600,400.0
491,90400,400.0
493,91200,400.0
495,92000,345.5
499,92800,210.0
501,93600,338.5
504,94400,290.0
506,95200,400.0
508,96000,400.0
511,96800,251.6667
514,97600,319.0
516,98400,298.5
518,99200,354.0
520,100000,400.0
